"_id","lat","lng","state","country","city","p"
"ObjectId(""5ebd5d5fc7b01f00197ab66b"")","-20.4640173","-54.6162947","Mato Grosso do Sul","Brasil","Campo Grande",0
"ObjectId(""5ebd5d6fc7b01f00197ab66c"")","-25.4295963","-49.2712724","Paraná","Brasil","Curitiba",0
"ObjectId(""5ebd5d86c7b01f00197ab66d"")","-29.8425284","-53.7680577","Rio Grande do Sul","Brasil",,1
"ObjectId(""5ebd5d93c7b01f00197ab66e"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",2
"ObjectId(""5ebd5dc5c7b01f00197ab66f"")","-19.9227318","-43.9450948","Minas Gerais","Brasil","Belo Horizonte",1
"ObjectId(""5ebd5e2cc7b01f00197ab672"")","-19.5852564","-54.4794731","Mato Grosso do Sul","Brasil",,2
"ObjectId(""5ebd5e35c7b01f00197ab673"")","-19.9466574","-43.956363175401165","Minas Gerais","Brasil","Belo Horizonte",0
"ObjectId(""5ebd5e4ec7b01f00197ab674"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,1
"ObjectId(""5ebd5e87c7b01f00197ab676"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd5e8dc7b01f00197ab677"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0
"ObjectId(""5ebd5e96c7b01f00197ab678"")","-23.2638828","-47.298892","São Paulo","Brasil","Itu",0
"ObjectId(""5ebd5ea5c7b01f00197ab679"")","-10.6743911","-37.3773519","Sergipe","Brasil",,0
"ObjectId(""5ebd5eafc7b01f00197ab67a"")","-12.9822499","-38.4812772","Bahia","Brasil","Salvador",0
"ObjectId(""5ebd5ee5c7b01f00197ab67b"")","-23.5503068","-45.9654233","São Paulo","Brasil",,1
"ObjectId(""5ebd5f5ac7b01f00197ab67c"")","-21.7886713","-48.1773096","São Paulo","Brasil","Araraquara",1
"ObjectId(""5ebd5f6ac7b01f00197ab67d"")","-23.501667","-47.458056","São Paulo","Brasil","Sorocaba",0
"ObjectId(""5ebd5f73c7b01f00197ab67e"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd5f87c7b01f00197ab680"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",2
"ObjectId(""5ebd5facc7b01f00197ab681"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",0
"ObjectId(""5ebd5fb8c7b01f00197ab682"")","-22.3706166","-47.3927246","São Paulo","Brasil","Araras",0
"ObjectId(""5ebd5fd2c7b01f00197ab683"")","-8.0641931","-34.8781517","Pernambuco","Brasil","Recife",0
"ObjectId(""5ebd5fedc7b01f00197ab685"")","-31.71980215","-52.32953054766273","Rio Grande do Sul","Brasil","Pelotas",1
"ObjectId(""5ebd5ffbc7b01f00197ab686"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,298
"ObjectId(""5ebd600cc7b01f00197ab687"")","-22.3185101","-41.754418320144026","Rio de Janeiro","Brasil","Macaé",0
"ObjectId(""5ebd6030c7b01f00197ab688"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,0
"ObjectId(""5ebd6060c7b01f00197ab689"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd606ec7b01f00197ab68a"")","-8.4116316","-37.5919699","Pernambuco","Brasil",,0
"ObjectId(""5ebd6097c7b01f00197ab68b"")","-18.5264844","-44.1588654","Minas Gerais","Brasil",,0
"ObjectId(""5ebd60b8c7b01f00197ab68c"")","-22.7156978","-43.555754","Rio de Janeiro","Brasil","Queimados",1
"ObjectId(""5ebd60c7c7b01f00197ab68d"")","-28.2616138","-52.4089048","Rio Grande do Sul","Brasil","Passo Fundo",0
"ObjectId(""5ebd60ddc7b01f00197ab68e"")","-10.1835604","-48.3337793","Tocantins","Brasil","Palmas",41
"ObjectId(""5ebd60ecc7b01f00197ab68f"")","-23.5506507","-46.6333824","São Paulo","Brasil","São Paulo",9
"ObjectId(""5ebd6100c7b01f00197ab690"")","-30.0324999","-51.2303767","Rio Grande do Sul","Brasil","Porto Alegre",2
"ObjectId(""5ebd6118c7b01f00197ab691"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",26
"ObjectId(""5ebd6127c7b01f00197ab692"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",6661
"ObjectId(""5ebd6130c7b01f00197ab693"")","-23.0070825","-43.3146881","Rio de Janeiro","Brasil","Rio de Janeiro",11
"ObjectId(""5ebd619ec7b01f00197ab696"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd61d0c7b01f00197ab699"")","-23.1989983","-47.2913682","São Paulo","Brasil","Salto",0
"ObjectId(""5ebd6208c7b01f00197ab69a"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
"ObjectId(""5ebd621dc7b01f00197ab69b"")","-3.1316333","-59.9825041","Amazonas","Brasil","Manaus",0
"ObjectId(""5ebd6224c7b01f00197ab69c"")","-21.9549806","-49.0232348","São Paulo","Brasil",,0
"ObjectId(""5ebd626cc7b01f00197ab69e"")","-22.9110137","-43.2093727","Rio de Janeiro","Brasil","Rio de Janeiro",0
